category,month_end,amount_monthly
entertainment,2016-01-31,368.0
entertainment,2016-02-29,619.0
entertainment,2016-03-31,671.0
entertainment,2016-04-30,970.0
entertainment,2016-05-31,502.0
entertainment,2016-06-30,1596.0
entertainment,2016-07-31,3101.0
entertainment,2016-08-31,1612.0
entertainment,2016-09-30,251.0
entertainment,2016-10-31,2250.0
entertainment,2016-11-30,600.0
entertainment,2016-12-31,3632.0
entertainment,2017-01-31,631.0
entertainment,2017-02-28,702.0
entertainment,2017-03-31,3116.0
entertainment,2017-04-30,341.0
entertainment,2017-05-31,641.0
entertainment,2017-06-30,0.0
entertainment,2017-07-31,2545.0
entertainment,2017-08-31,217.0
entertainment,2017-09-30,315.0
entertainment,2017-10-31,2654.49
entertainment,2017-11-30,303.0
entertainment,2017-12-31,22015.799999999992
entertainment,2018-01-31,179.0
entertainment,2018-02-28,157.0
entertainment,2018-03-31,157.0
entertainment,2018-04-30,333.0
entertainment,2018-05-31,1475.0
entertainment,2018-06-30,2938.0
entertainment,2018-07-31,154.0
entertainment,2018-08-31,1157.0
entertainment,2018-09-30,470.0
groceries,2015-01-31,2362.0
groceries,2015-02-28,972.0
groceries,2015-03-31,815.8
groceries,2015-04-30,1052.0
groceries,2015-05-31,98.0
groceries,2015-06-30,0.0
groceries,2015-07-31,0.0
groceries,2015-08-31,0.0
groceries,2015-09-30,0.0
groceries,2015-10-31,330.0
groceries,2015-11-30,109.0
groceries,2015-12-31,720.0
groceries,2016-01-31,0.0
groceries,2016-02-29,510.0
groceries,2016-03-31,35.0
groceries,2016-04-30,259.0
groceries,2016-05-31,684.0
groceries,2016-06-30,740.0
groceries,2016-07-31,0.0
groceries,2016-08-31,0.0
groceries,2016-09-30,1043.0
groceries,2016-10-31,1360.0
groceries,2016-11-30,1399.0
groceries,2016-12-31,1270.0
groceries,2017-01-31,1605.0
groceries,2017-02-28,3658.0
groceries,2017-03-31,1434.0
groceries,2017-04-30,2133.0
groceries,2017-05-31,2767.0
groceries,2017-06-30,1288.5
groceries,2017-07-31,2326.0
groceries,2017-08-31,1596.0
groceries,2017-09-30,1961.0
groceries,2017-10-31,68.0
groceries,2017-11-30,2018.0
groceries,2017-12-31,1792.0
groceries,2018-01-31,2250.0
groceries,2018-02-28,3013.0
groceries,2018-03-31,4187.060000000002
groceries,2018-04-30,1643.0
groceries,2018-05-31,1400.0
groceries,2018-06-30,1059.0
groceries,2018-07-31,2070.0
groceries,2018-08-31,2968.85
groceries,2018-09-30,106.0
others,2015-01-31,620.0
others,2015-02-28,4967.0
others,2015-03-31,5644.0
others,2015-04-30,2739.0
others,2015-05-31,14978.0
others,2015-06-30,1198.0
others,2015-07-31,2798.0
others,2015-08-31,15507.0
others,2015-09-30,3198.0
others,2015-10-31,6009.0
others,2015-11-30,760.0
others,2015-12-31,3636.0
others,2016-01-31,10000.0
others,2016-02-29,10441.0
others,2016-03-31,344.0
others,2016-04-30,64.52
others,2016-05-31,11506.0
others,2016-06-30,1049.9
others,2016-07-31,260.0
others,2016-08-31,2343.0
others,2016-09-30,469.0
others,2016-10-31,2206.2
others,2016-11-30,21933.0
others,2016-12-31,10738.0
others,2017-01-31,5244.0
others,2017-02-28,14157.0
others,2017-03-31,12090.0
others,2017-04-30,7713.68
others,2017-05-31,2494.0
others,2017-06-30,11023.0
others,2017-07-31,32081.0
others,2017-08-31,18495.7
others,2017-09-30,3822.0
others,2017-10-31,4563.0
others,2017-11-30,41624.0
others,2017-12-31,4830.0
others,2018-01-31,5579.9
others,2018-02-28,6791.0
others,2018-03-31,2275.0
others,2018-04-30,6402.0
others,2018-05-31,22245.0
others,2018-06-30,27279.42
others,2018-07-31,42795.16160000001
others,2018-08-31,2712.0
others,2018-09-30,83.0
transportation,2015-01-31,1452.0
transportation,2015-02-28,771.0
transportation,2015-03-31,10.0
transportation,2015-04-30,0.0
transportation,2015-05-31,6000.0
transportation,2015-06-30,0.0
transportation,2015-07-31,0.0
transportation,2015-08-31,0.0
transportation,2015-09-30,0.0
transportation,2015-10-31,2429.0
transportation,2015-11-30,120.0
transportation,2015-12-31,0.0
transportation,2016-01-31,0.0
transportation,2016-02-29,40.0
transportation,2016-03-31,0.0
transportation,2016-04-30,0.0
transportation,2016-05-31,90.0
transportation,2016-06-30,3200.0
transportation,2016-07-31,0.0
transportation,2016-08-31,0.0
transportation,2016-09-30,0.0
transportation,2016-10-31,40.0
transportation,2016-11-30,7528.0
transportation,2016-12-31,2666.6
transportation,2017-01-31,610.0
transportation,2017-02-28,5969.0
transportation,2017-03-31,1851.0
transportation,2017-04-30,120.0
transportation,2017-05-31,265.0
transportation,2017-06-30,197.0
transportation,2017-07-31,1227.0
transportation,2017-08-31,2266.0
transportation,2017-09-30,3873.0
transportation,2017-10-31,2704.0
transportation,2017-11-30,235.0
transportation,2017-12-31,210.0
transportation,2018-01-31,55702.5600000002
transportation,2018-02-28,463.0
transportation,2018-03-31,80.0
transportation,2018-04-30,30.0
transportation,2018-05-31,260.0
transportation,2018-06-30,1726.6
transportation,2018-07-31,448.0
transportation,2018-08-31,2510.8
transportation,2018-09-30,120.0
utilities,2015-03-31,40.0
