category,week_end,amount_weekly
entertainment,2016-01-25,169.0
entertainment,2016-02-01,199.0
entertainment,2016-02-08,0.0
entertainment,2016-02-15,0.0
entertainment,2016-02-22,169.0
entertainment,2016-02-29,450.0
entertainment,2016-03-07,0.0
entertainment,2016-03-14,0.0
entertainment,2016-03-21,502.0
entertainment,2016-03-28,169.0
entertainment,2016-04-04,0.0
entertainment,2016-04-11,0.0
entertainment,2016-04-18,251.0
entertainment,2016-04-25,420.0
entertainment,2016-05-02,299.0
entertainment,2016-05-09,0.0
entertainment,2016-05-16,251.0
entertainment,2016-05-23,0.0
entertainment,2016-05-30,251.0
entertainment,2016-06-06,0.0
entertainment,2016-06-13,0.0
entertainment,2016-06-20,0.0
entertainment,2016-06-27,1596.0
entertainment,2016-07-04,0.0
entertainment,2016-07-11,0.0
entertainment,2016-07-18,0.0
entertainment,2016-07-25,3101.0
entertainment,2016-08-01,0.0
entertainment,2016-08-08,0.0
entertainment,2016-08-15,0.0
entertainment,2016-08-22,751.0
entertainment,2016-08-29,861.0
entertainment,2016-09-05,0.0
entertainment,2016-09-12,0.0
entertainment,2016-09-19,251.0
entertainment,2016-09-26,0.0
entertainment,2016-10-03,0.0
entertainment,2016-10-10,0.0
entertainment,2016-10-17,0.0
entertainment,2016-10-24,0.0
entertainment,2016-10-31,2250.0
entertainment,2016-11-07,0.0
entertainment,2016-11-14,0.0
entertainment,2016-11-21,0.0
entertainment,2016-11-28,251.0
entertainment,2016-12-05,349.0
entertainment,2016-12-12,0.0
entertainment,2016-12-19,301.0
entertainment,2016-12-26,301.0
entertainment,2017-01-02,3030.0
entertainment,2017-01-09,0.0
entertainment,2017-01-16,0.0
entertainment,2017-01-23,631.0
entertainment,2017-01-30,0.0
entertainment,2017-02-06,0.0
entertainment,2017-02-13,301.0
entertainment,2017-02-20,301.0
entertainment,2017-02-27,100.0
entertainment,2017-03-06,0.0
entertainment,2017-03-13,0.0
entertainment,2017-03-20,3116.0
entertainment,2017-03-27,0.0
entertainment,2017-04-03,0.0
entertainment,2017-04-10,0.0
entertainment,2017-04-17,192.0
entertainment,2017-04-24,0.0
entertainment,2017-05-01,149.0
entertainment,2017-05-08,0.0
entertainment,2017-05-15,380.0
entertainment,2017-05-22,0.0
entertainment,2017-05-29,261.0
entertainment,2017-06-05,0.0
entertainment,2017-06-12,0.0
entertainment,2017-06-19,0.0
entertainment,2017-06-26,0.0
entertainment,2017-07-03,0.0
entertainment,2017-07-10,0.0
entertainment,2017-07-17,0.0
entertainment,2017-07-24,2545.0
entertainment,2017-07-31,0.0
entertainment,2017-08-07,0.0
entertainment,2017-08-14,0.0
entertainment,2017-08-21,217.0
entertainment,2017-08-28,0.0
entertainment,2017-09-04,0.0
entertainment,2017-09-11,0.0
entertainment,2017-09-18,100.0
entertainment,2017-09-25,0.0
entertainment,2017-10-02,215.0
entertainment,2017-10-09,0.0
entertainment,2017-10-16,0.0
entertainment,2017-10-23,411.0
entertainment,2017-10-30,2243.49
entertainment,2017-11-06,0.0
entertainment,2017-11-13,0.0
entertainment,2017-11-20,147.0
entertainment,2017-11-27,156.0
entertainment,2017-12-04,0.0
entertainment,2017-12-11,0.0
entertainment,2017-12-18,0.0
entertainment,2017-12-25,20630.255473310066
entertainment,2018-01-01,1385.5445266899267
entertainment,2018-01-08,0.0
entertainment,2018-01-15,0.0
entertainment,2018-01-22,179.0
entertainment,2018-01-29,0.0
entertainment,2018-02-05,0.0
entertainment,2018-02-12,0.0
entertainment,2018-02-19,0.0
entertainment,2018-02-26,157.0
entertainment,2018-03-05,0.0
entertainment,2018-03-12,0.0
entertainment,2018-03-19,0.0
entertainment,2018-03-26,157.0
entertainment,2018-04-02,0.0
entertainment,2018-04-09,0.0
entertainment,2018-04-16,0.0
entertainment,2018-04-23,0.0
entertainment,2018-04-30,333.0
