category,model,mae,rmse
entertainment,moving_average,5015.693333333334,7881.640294135194
entertainment,holt_winters,2935.2831999222376,6604.851031204154
entertainment,lstm,3223.538330078125,6709.271197380533
groceries,moving_average,1155.7800000000002,1277.982735085334
groceries,holt_winters,865.3782295681333,1114.4694592329654
groceries,lstm,767.8126220703125,1069.422098612143
others,moving_average,15392.392571428572,17874.744715828016
others,holt_winters,11761.346967968848,14097.879615053536
others,lstm,12032.3828125,14039.04555160357
transportation,moving_average,8910.118095238124,17007.9100009946
transportation,holt_winters,5094.993708444248,14488.294388855731
transportation,lstm,5402.08056640625,14591.377179690751
utilities,moving_average,11.666666666666666,72.85830998131465
utilities,holt_winters,12.06172634977855,72.92261284982024
utilities,lstm,11.687527656555176,72.85479257249484
